name,distribution,totalTime,avgTimePerHash,avgDeviationFromPerfectPercentage,probeCount
"crc32, md4, md5, sha512","25 75",8576.0033130646,0.024502866608756,3.06,4
"crc32, md4, sha1, sha256","25 75",7811.1395835876,0.022317541667393,3.215,4
"crc32, md4, sha1, sha3-224","25 75",6898.9341259003,0.019711240359715,3.217,4
"crc32, md4, sha1, sha512","25 75",8434.476852417,0.02409850529262,3.269,4
"crc32, md4, sha256, sha3-224","25 75",9104.2251586914,0.026012071881975,3.123,4
"crc32, md4, sha256, sha512","25 75",10540.657997131,0.03011616570609,3.096,4
"crc32, md4, sha3-224, sha512","25 75",9445.6150531769,0.026987471580505,3.029,4
"crc32, md5, sha1, sha256","25 75",7978.9049625397,0.022796871321542,3.225,4
"crc32, md5, sha1, sha3-224","25 75",7070.5373287201,0.020201535224915,3.193,4
"crc32, md5, sha1, sha512","25 75",8680.5057525635,0.024801445007324,3.325,4
"crc32, md5, sha256, sha3-224","25 75",8780.2503108978,0.025086429459708,3.086,4
"crc32, md5, sha256, sha512","25 75",10198.1112957,0.029137460844857,3.095,4
"crc32, md5, sha3-224, sha512","25 75",9299.6985912323,0.026570567403521,3.039,4
"crc32, sha1, sha256, sha3-224","25 75",8828.4184932709,0.025224052837917,3.133,4
"crc32, sha1, sha256, sha512","25 75",10246.491909027,0.029275691168649,3.243,4
"crc32, sha1, sha3-224, sha512","25 75",9348.3655452728,0.026709615843637,3.117,4
"crc32, sha256, sha3-224, sha512","25 75",11610.193729401,0.033171982084002,2.915,4
"md4, md5, sha1, sha256","25 75",8081.7959308624,0.02309084551675,4.739,4
"md4, md5, sha1, sha3-224","25 75",7453.3696174622,0.021295341764178,4.728,4
"md4, md5, sha1, sha512","25 75",8869.9953556061,0.02534284387316,4.667,4
"md4, md5, sha256, sha3-224","25 75",8918.2903766632,0.025480829647609,4.676,4
"md4, md5, sha256, sha512","25 75",10748.930692673,0.030711230550494,4.598,4
"md4, md5, sha3-224, sha512","25 75",9691.7767524719,0.027690790721348,4.512,4
"md4, sha1, sha256, sha3-224","25 75",8871.8323707581,0.02534809248788,4.651,4
"md4, sha1, sha256, sha512","25 75",10530.183076859,0.030086237362453,4.767,4
"md4, sha1, sha3-224, sha512","25 75",9691.5094852448,0.027690027100699,4.576,4
"md4, sha256, sha3-224, sha512","25 75",11383.540391922,0.032524401119777,4.473,4
"md5, sha1, sha256, sha3-224","25 75",9173.7267971039,0.026210647991725,4.734,4
"md5, sha1, sha256, sha512","25 75",10752.135515213,0.030720387186323,4.673,4
"md5, sha1, sha3-224, sha512","25 75",10022.391557693,0.028635404450553,4.58,4
"md5, sha256, sha3-224, sha512","25 75",11476.41992569,0.032789771216256,4.583,4
"sha1, sha256, sha3-224, sha512","25 75",11699.327945709,0.033426651273455,4.595,4
standard,"20 30 50",5431.2610626221,0.015517888750349,2.624,3
accurate,"20 30 50",12161.974906921,0.034748499734061,1.525,5
"crc32, md4","20 30 50",4226.8490791321,0.012076711654663,6.66,2
"crc32, md5","20 30 50",4376.0657310486,0.012503044945853,6.815,2
"crc32, sha1","20 30 50",4374.5081424713,0.012498594692775,7.075,2
"crc32, sha256","20 30 50",7099.494934082,0.020284271240234,6.942,2
"crc32, sha3-224","20 30 50",5686.0666275024,0.016245904650007,7.044,2
"crc32, sha512","20 30 50",8016.419172287,0.022904054777963,7.237,2
"md4, md5","20 30 50",4895.2548503876,0.013986442429679,7.278,2
"md4, sha1","20 30 50",4931.5049648285,0.014090014185224,7.264,2
"md4, sha256","20 30 50",7650.0005722046,0.021857144492013,7.173,2
"md4, sha3-224","20 30 50",6128.4549236298,0.017509871210371,7.13,2
"md4, sha512","20 30 50",9226.2010574341,0.026360574449812,7.448,2
"md5, sha1","20 30 50",5187.9529953003,0.014822722843715,6.74,2
"md5, sha256","20 30 50",7681.0126304626,0.02194575037275,7.022,2
"md5, sha3-224","20 30 50",6314.3000602722,0.018040857315063,6.986,2
"md5, sha512","20 30 50",9216.0792350769,0.026331654957363,7.048,2
"sha1, sha256","20 30 50",7860.4257106781,0.022458359173366,7.007,2
"sha1, sha3-224","20 30 50",6369.2722320557,0.018197920663016,6.896,2
"sha1, sha512","20 30 50",8708.0581188202,0.024880166053772,6.988,2
"sha256, sha3-224","20 30 50",8964.1315937042,0.025611804553441,6.831,2
"sha256, sha512","20 30 50",11154.767990112,0.031870765686035,7.002,2
"sha3-224, sha512","20 30 50",10075.53601265,0.028787245750427,7.071,2
"crc32, md4, md5","20 30 50",6404.3939113617,0.018298268318176,2.687,3
"crc32, md4, sha1","20 30 50",6506.1600208282,0.018589028630938,2.819,3
"crc32, md4, sha256","20 30 50",9053.3866882324,0.025866819109235,2.89,3
"crc32, md4, sha3-224","20 30 50",7628.1020641327,0.021794577326093,2.686,3
"crc32, md4, sha512","20 30 50",10140.801668167,0.028973719051906,2.816,3
"crc32, md5, sha1","20 30 50",6690.5698776245,0.01911591393607,2.65,3
"crc32, md5, sha256","20 30 50",9243.2560920715,0.026409303120204,2.665,3
"crc32, md5, sha3-224","20 30 50",7885.5466842651,0.022530133383615,2.74,3
"crc32, md5, sha512","20 30 50",10293.356895447,0.029409591129848,2.669,3
"crc32, sha1, sha256","20 30 50",9403.4113883972,0.026866889681135,2.694,3
"crc32, sha1, sha3-224","20 30 50",7889.7662162781,0.022542189189366,2.759,3
"crc32, sha1, sha512","20 30 50",10293.833255768,0.029410952159337,2.879,3
"crc32, sha256, sha3-224","20 30 50",10413.112401962,0.029751749719892,2.706,3
"crc32, sha256, sha512","20 30 50",13011.42334938,0.037175495283944,2.878,3
"crc32, sha3-224, sha512","20 30 50",11665.926218033,0.033331217765808,2.791,3
"md4, md5, sha1","20 30 50",7463.6137485504,0.021324610710144,4.279,3
"md4, md5, sha256","20 30 50",9752.2909641266,0.027863688468933,4.502,3
"md4, md5, sha3-224","20 30 50",8683.4104061127,0.024809744017465,4.454,3
"md4, md5, sha512","20 30 50",11068.472146988,0.031624206134251,4.617,3
"md4, sha1, sha256","20 30 50",9910.8908176422,0.028316830907549,4.443,3
"md4, sha1, sha3-224","20 30 50",8455.9404850006,0.024159829957145,4.364,3
"md4, sha1, sha512","20 30 50",10907.123327255,0.031163209506444,4.641,3
"md4, sha256, sha3-224","20 30 50",10980.417251587,0.03137262071882,4.469,3
"md4, sha256, sha512","20 30 50",13414.879083633,0.038328225953238,4.695,3
"md4, sha3-224, sha512","20 30 50",12082.576751709,0.034521647862026,4.537,3
"md5, sha1, sha256","20 30 50",9957.29804039,0.028449422972543,4.088,3
"md5, sha1, sha3-224","20 30 50",8785.5091094971,0.025101454598563,4.096,3
"md5, sha1, sha512","20 30 50",10933.934211731,0.031239812033517,3.96,3
"md5, sha256, sha3-224","20 30 50",11115.911722183,0.031759747777666,4.068,3
"md5, sha256, sha512","20 30 50",13550.279855728,0.03871508530208,4.185,3
"md5, sha3-224, sha512","20 30 50",12027.805089951,0.034365157399859,4.179,3
"sha1, sha256, sha3-224","20 30 50",10989.308595657,0.031398024559021,4.084,3
"sha1, sha256, sha512","20 30 50",13482.419967651,0.038521199907575,4.362,3
"sha1, sha3-224, sha512","20 30 50",12165.25387764,0.034757868221828,4.31,3
"sha256, sha3-224, sha512","20 30 50",14596.536397934,0.041704389708383,4.377,3
"crc32, md4, md5, sha1","20 30 50",8581.6242694855,0.024518926484244,1.964,4
"crc32, md4, md5, sha256","20 30 50",11222.087621689,0.03206310749054,2.04,4
"crc32, md4, md5, sha3-224","20 30 50",10089.773178101,0.028827923366002,2.094,4
"crc32, md4, md5, sha512","20 30 50",12641.012191772,0.036117177690778,2.061,4
"crc32, md4, sha1, sha256","20 30 50",11256.038188934,0.032160109111241,2.203,4
"crc32, md4, sha1, sha3-224","20 30 50",9810.2250099182,0.028029214314052,2.055,4
"crc32, md4, sha1, sha512","20 30 50",12171.638965607,0.034776111330305,2.087,4
"crc32, md4, sha256, sha3-224","20 30 50",12268.070697784,0.035051630565098,2.141,4
"crc32, md4, sha256, sha512","20 30 50",15009.650230408,0.042884714944022,2.316,4
"crc32, md4, sha3-224, sha512","20 30 50",13584.787130356,0.038813677515302,1.982,4
"crc32, md5, sha1, sha256","20 30 50",11372.033119202,0.032491523197719,1.661,4
"crc32, md5, sha1, sha3-224","20 30 50",9935.5909824371,0.028387402806963,1.85,4
"crc32, md5, sha1, sha512","20 30 50",12394.701004028,0.035413431440081,1.621,4
"crc32, md5, sha256, sha3-224","20 30 50",12521.152973175,0.0357747227805,1.722,4
"crc32, md5, sha256, sha512","20 30 50",14890.066623688,0.042543047496251,1.769,4
"crc32, md5, sha3-224, sha512","20 30 50",13663.215875626,0.039037759644645,1.685,4
"crc32, sha1, sha256, sha3-224","20 30 50",12688.334226608,0.036252383504595,1.694,4
"crc32, sha1, sha256, sha512","20 30 50",14992.507219315,0.042835734912327,1.838,4
"crc32, sha1, sha3-224, sha512","20 30 50",13694.912195206,0.039128320557731,1.791,4
"crc32, sha256, sha3-224, sha512","20 30 50",16274.718284607,0.046499195098877,1.787,4
"md4, md5, sha1, sha256","20 30 50",12163.095235825,0.034751700673785,2.947,4
"md4, md5, sha1, sha3-224","20 30 50",10467.653989792,0.029907582827977,3.007,4
"md4, md5, sha1, sha512","20 30 50",12866.172552109,0.036760493006025,3.056,4
"md4, md5, sha256, sha3-224","20 30 50",13025.958061218,0.037217023032052,3.134,4
"md4, md5, sha256, sha512","20 30 50",15428.92408371,0.044082640239171,3.145,4
"md4, md5, sha3-224, sha512","20 30 50",14099.575281143,0.040284500803266,3.123,4
"md4, sha1, sha256, sha3-224","20 30 50",13123.559951782,0.037495885576521,3.088,4
"md4, sha1, sha256, sha512","20 30 50",15782.581090927,0.04509308883122,3.423,4
"md4, sha1, sha3-224, sha512","20 30 50",14041.210651398,0.040117744718279,3.271,4
"md4, sha256, sha3-224, sha512","20 30 50",17083.765983582,0.04881075995309,3.313,4
"md5, sha1, sha256, sha3-224","20 30 50",13172.342300415,0.037635263715472,2.687,4
"md5, sha1, sha256, sha512","20 30 50",15581.318855286,0.044518053872245,2.772,4
"md5, sha1, sha3-224, sha512","20 30 50",14218.49322319,0.040624266351972,2.831,4
"md5, sha256, sha3-224, sha512","20 30 50",16813.712120056,0.048039177485875,2.843,4
"sha1, sha256, sha3-224, sha512","20 30 50",17027.695178986,0.048650557654245,3.132,4
standard,"33 33 34",5399.9552726746,0.015428443636213,2.305,3
accurate,"33 33 34",12260.169267654,0.035029055050441,0.271,5
"crc32, md4","33 33 34",4245.0368404388,0.012128676686968,8.389,2
"crc32, md5","33 33 34",4383.7606906891,0.012525030544826,8.502,2
"crc32, sha1","33 33 34",4405.7536125183,0.012587867464338,8.683,2
"crc32, sha256","33 33 34",7111.8619441986,0.020319605554853,8.698,2
"crc32, sha3-224","33 33 34",5640.9680843353,0.01611705166953,8.801,2
"crc32, sha512","33 33 34",8057.9748153687,0.023022785186768,8.78,2
"md4, md5","33 33 34",4845.903635025,0.013845438957214,0.399,2
"md4, sha1","33 33 34",4845.4036712646,0.013844010489328,0.47,2
"md4, sha256","33 33 34",7487.0452880859,0.02139155796596,0.446,2
"md4, sha3-224","33 33 34",6091.7353630066,0.017404958180019,0.088999999999999,2
"md4, sha512","33 33 34",8878.1046867371,0.025366013390677,0.33799999999999,2
"md5, sha1","33 33 34",5526.8054008484,0.015790872573853,0.13500000000001,2
"md5, sha256","33 33 34",7689.2778873444,0.021969365392412,0.13800000000001,2
"md5, sha3-224","33 33 34",6299.0050315857,0.017997157233102,0.17700000000001,2
"md5, sha512","33 33 34",8789.0441417694,0.02511155469077,0.128,2
"sha1, sha256","33 33 34",7780.656337738,0.022230446679252,0.25700000000001,2
"sha1, sha3-224","33 33 34",6304.5492172241,0.018012997763497,0.20099999999999,2
"sha1, sha512","33 33 34",8699.3789672852,0.024855368477958,0.178,2
"sha256, sha3-224","33 33 34",9085.9661102295,0.025959903172084,0.262,2
"sha256, sha512","33 33 34",11411.257743835,0.032603593553816,0.188,2
"sha3-224, sha512","33 33 34",9949.6009349823,0.028427431242807,0.14199999999999,2
"crc32, md4, md5","33 33 34",6425.5721569061,0.01835877759116,2.313,3
